Date,Open,High,Low,Close,Adj. Close,Volume
2016-06-13,43.562,43.998001,42.900002,43.094002,43.094002,15563000
2016-06-20,43.900002,44.75,37.945999,38.630001,38.630001,244920500
2016-06-27,38.172001,43.647999,37.574001,43.299999,43.299999,148279000
2016-07-04,41.945999,43.962002000000005,41.599998,43.355999,43.355999,88910000
2016-07-11,43.992001,45.5,43.902,44.080002,44.080002,92391000
2016-07-18,43.928001,45.959998999999996,43.66,44.453998999999996,44.453998999999996,80520500
2016-07-25,44.453998999999996,47.056000000000004,44.273998,46.958,46.958,81498000
2016-08-01,47.099998,47.326,44.279999,46.006001,46.006001,95953500
2016-08-08,45.599998,46.307999,44.681999,45.122002,45.122002,52520500
2016-08-15,45.203998999999996,45.900002,44.458,45.0,45.0,47312500
2016-08-22,44.833999999999996,45.698002,43.763999999999996,43.998001,43.998001,67110500
2016-08-29,44.029999,44.080002,39.240002000000004,39.556,39.556,118161000
2016-09-05,39.804001,41.299999,38.740002000000004,38.894001,38.894001,75832000
2016-09-12,39.0,41.139998999999996,38.689999,41.080002,41.080002,78720500
2016-09-19,41.400002,42.035999,40.312,41.490002000000004,41.490002000000004,63158000
2016-09-26,41.299999,42.200001,39.91,40.806,40.806,65846500
2016-10-03,42.459998999999996,43.133998999999996,39.16,39.321999,39.321999,98076500
2016-10-10,40.27,40.827999,39.259997999999996,39.301998,39.301998,71899500
2016-10-17,39.41,41.332001,38.400002,40.018002,40.018002,126210500
2016-10-24,40.200001,42.740002000000004,39.966,39.993999,39.993999,141016000
2016-10-31,40.498001,40.498001,37.192001,38.111999999999995,38.111999999999995,119023500
2016-11-07,38.717999,39.498001,36.084,37.712002000000005,37.712002000000005,130248000
2016-11-14,37.599998,38.599998,35.638000000000005,37.004002,37.004002,119930000
2016-11-21,37.007999,39.448002,36.742001,39.330002,39.330002,86112000
2016-11-28,39.096001,39.869999,36.0,36.293999,36.293999,108421500
2016-12-05,36.501999,38.768002,36.501999,38.436001,38.436001,94211500
2016-12-12,38.560001,40.599998,38.236,40.498001,40.498001,102151000
2016-12-19,40.498001,42.689999,39.967999,42.667999,42.667999,105832000
2016-12-26,42.976002,44.759997999999996,42.335999,42.737999,42.737999,91929000
2017-01-02,42.972,46.062,42.192001,45.801998,45.801998,142882000
2017-01-09,45.793999,47.57,45.116001000000004,47.549999,47.549999,105867500
2017-01-16,47.34,49.736000000000004,46.874001,48.945999,48.945999,101615500
2017-01-23,49.169998,51.692001,49.099998,50.59,50.59,113447000
2017-01-30,50.506001,51.178001,49.419998,50.265999,50.265999,82812500
2017-02-06,50.200001,54.236000000000004,50.125999,53.846001,53.846001,115901000
2017-02-13,54.147999,57.478001,52.830002,54.445999,54.445999,163285500
2017-02-20,55.09,56.689999,50.040001000000004,51.400002,51.400002,187592500
2017-02-27,49.633998999999996,50.970001,48.402,50.313999,50.313999,143098000
2017-03-06,49.582001,50.778,48.599998,48.737999,48.737999,87429000
2017-03-13,48.964001,53.150002,48.556000000000004,52.299999,52.299999,147907500
2017-03-20,52.119999,52.959998999999996,50.048,52.632,52.632,117748500
2017-03-27,52.119999,56.400002,51.950001,55.66,55.66,126688000
2017-04-03,57.380001,60.976002,56.916000000000004,60.507999,60.507999,210021500
2017-04-10,61.830002,62.745998,59.060001,60.799999,60.799999,143622000
2017-04-17,60.540001000000004,61.830002,59.580002,61.119999,61.119999,108658000
2017-04-24,61.844002,62.959998999999996,61.172001,62.813999,62.813999,122451500
2017-05-01,62.976002,65.531998,58.152,61.669998,61.669998,218375500
2017-05-08,62.18,65.400002,61.164001,64.961998,64.961998,156500000
2017-05-15,63.675999,64.040001,61.062,62.166000000000004,62.166000000000004,144139000
2017-05-22,62.560001,65.098,60.695999,65.028,65.028,132485500
2017-05-29,65.199997,68.975998,65.152,67.970001,67.970001,154722500
2017-06-05,67.699997,75.374001,66.842003,71.46399699999999,71.46399699999999,267960500
2017-06-12,71.598,76.849998,70.124001,74.279999,74.279999,261507500
2017-06-19,75.0,77.398003,73.559998,76.690002,76.690002,164434000
2017-06-26,77.337997,77.389999,70.82,72.321999,72.321999,169862500
2017-07-03,74.047997,74.269997,61.259997999999996,62.644001,62.644001,284267500
2017-07-10,62.580002,66.620003,60.625999,65.556,65.556,249730500
2017-07-17,65.108002,66.33000200000001,62.689999,65.68,65.68,163377000
2017-07-24,66.047997,69.5,65.258003,67.014,67.014,168149500
2017-07-31,67.099998,71.454002,62.243999,71.38200400000001,71.38200400000001,263668000
2017-08-07,71.470001,74.0,70.550003,71.57399699999999,71.57399699999999,160625500
2017-08-14,72.92600300000001,73.531998,69.160004,69.491997,69.491997,107270000
2017-08-21,69.164001,71.332001,66.370003,69.610001,69.610001,119203000
2017-08-28,69.456001,71.688004,67.75,71.08000200000001,71.08000200000001,91864500
2017-09-04,70.760002,71.098,68.311996,68.68,68.68,77146000
2017-09-11,70.269997,76.0,70.0,75.961998,75.961998,152241000
2017-09-18,76.050003,77.92199699999999,70.17600300000001,70.218002,70.218002,156683000
2017-09-25,70.629997,71.494003,67.08000200000001,68.220001,68.220001,156246000
2017-10-02,68.503998,72.019997,66.255997,71.375999,71.375999,160365500
2017-10-09,69.93,71.956001,68.533997,71.113998,71.113998,133002500
2017-10-16,70.751999,72.599998,68.86799599999999,69.019997,69.019997,118000500
2017-10-23,69.975998,69.989998,63.332001,64.17400400000001,64.17400400000001,154181500
2017-10-30,63.835999,66.522003,58.526001,61.217999,61.217999,235347000
2017-11-06,61.400002,61.672001,59.259997999999996,60.598,60.598,132890500
2017-11-13,60.026001,65.334,59.821999,63.009997999999996,63.009997999999996,193984500
2017-11-20,62.757999,63.646,60.950001,63.110001000000004,63.110001000000004,118353500
2017-11-27,62.650002,64.0,60.245998,61.306000000000004,61.306000000000004,134586500
2017-12-04,61.299999,63.726002,60.0,63.026001,63.026001,129630000
2017-12-11,62.925999,69.487999,62.75,68.690002,68.690002,178129000
2017-12-18,68.980003,69.346001,64.96399699999999,65.040001,65.040001,134280000
2017-12-25,64.765999,64.788002,61.908001,62.27,62.27,85920000
2018-01-01,62.400002,65.050003,61.136002000000005,63.316002000000005,63.316002000000005,117056000
2018-01-08,63.200001,68.961998,63.099998,67.244003,67.244003,163932500
2018-01-15,67.508003,70.459999,66.959999,70.003998,70.003998,120759500
2018-01-22,69.879997,72.099998,67.141998,68.57,68.57,141215000
2018-01-29,67.970001,71.931999,67.655998,68.75,68.75,117907000
2018-02-05,67.594002,69.72399899999999,58.952,62.083999999999996,62.083999999999996,198850000
